Time,Bps
1467,28656
1468,39600
1469,24848
1470,51376
1471,46240
1472,42448
1473,96768
1474,17312
1475,21184
1476,11856
1477,41440
1478,38240
1479,19168
1480,43040
1481,50848
1482,47648
1483,27120
1484,18272
1485,22480
1486,14112
1487,28048
1488,47120
1489,92432
1490,44336
1491,46208
1492,45792
1493,38704
1494,17840
1495,22912
1496,14112
1497,22336
1498,48992
1499,26720
1500,44368
1501,46080
1502,45792
1503,32688
1504,85504
1505,21184
1506,16368
1507,21808
1508,45680
1509,27392
1510,47680
1511,45680
1512,44336
1513,28960
1514,22896
1515,20656
1516,12912
1517,22864
1518,49392
1519,25264
1520,105536
1521,51376
1522,47664
1523,38256
1524,18272
1525,15408
1526,21184
1527,18224
1528,45680
1529,28576
1530,26832
1531,35040
1532,45280
1533,45264
1534,21552
1535,88176
1536,19184
1537,15840
1538,35472
1539,43424
1540,25264
1541,51376
1542,40640
1543,39168
1544,30432
1545,17312
1546,20656
1547,12288
1548,38624
1549,36784
1550,24864
1551,116672
1552,48992
1553,42480
1554,29008
1555,19664
1556,21328
1557,14112
1558,38656
1559,41968
1560,28976
1561,36400
1562,48064
1563,43936
1564,28976
1565,15584
1566,92832
1567,14112
1568,26864
1569,47648
1570,19696
1571,53920
1572,40544
1573,40624
1574,37824
1575,15584
1576,22912
1577,11856
1578,28880
1579,41392
1580,26720
1581,45696
1582,112016
1583,49504
1584,31216
1585,21040
1586,21184
1587,14112
1588,28048
1589,45664
1590,23808
1591,39728
1592,48192
1593,43808
1594,36000
1595,17312
1596,19040
1597,86848
1598,22896
1599,45248
1600,24864
1601,48480
1602,37584
1603,47136
1604,36912
1605,21168
1606,11584
1607,14112
1608,14912
1609,48464
1610,30832
1611,41584
1612,114800
1613,42384
1614,38336
1615,21600
1616,23008
1617,12288
1618,29872
1619,41824
1620,24864
1621,41456
1622,45808
1623,44336
1624,38816
1625,19664
1626,21184
1627,14640
1628,91584
1629,43824
1630,30832
1631,32688
1632,49424
1633,46448
1634,38800
1635,21136
1636,23344
1637,13680
1638,21008
1639,47136
1640,27120
1641,44368
1642,42480
1643,117584
1644,34528
1645,18784
1646,22912
1647,14112
1648,27920
1649,49504
1650,21552
1651,49936
1652,44384
1653,38736
1654,36000
1655,17840
1656,21184
1657,14640
1658,105792
1659,38240
1660,24864
1661,47024
1662,48192
1663,42480
1664,30832
1665,17840
1666,21088
1667,13152
1668,35344
1669,41552
1670,21424
1671,47152
1672,40640
1673,117568
1674,32688
1675,17840
1676,22912
1677,11856
1678,32832
1679,45264
1680,21552
1681,48080
1682,44352
1683,46192
1684,30432
1685,17840
1686,21184
1687,15840
1688,101680
1689,43280
1690,26736
1691,45904
1692,46208
1693,41952
1694,29904
1695,17312
1696,23440
1697,11328
1698,38256
1699,41952
1700,27136
1701,48192
1702,34064
1703,116144
1704,27088
1705,15584
1706,22912
1707,11328
1708,37728
1709,38000
1710,21552
1711,55344
1712,43824
1713,48048
1714,23008
1715,17840
1716,22912
1717,9632
1718,37328
1719,111888
1720,30880
1721,42464
1722,47664
1723,44336
1724,26880
1725,14640
1726,23440
1727,14112
1728,42800
1729,37824
1730,32688
1731,47664
1732,42928
1733,42048
1734,92000
1735,15056
1736,23440
1737,13184
1738,40512
1739,41040
1740,27120
1741,48992
1742,42496
1743,43808
1744,22880
1745,14960
1746,21952
1747,14112
1748,39184
1749,107632
1750,24752
1751,45152
1752,45808
1753,40624
1754,31104
1755,18272
1756,22480
1757,14112
1758,31760
1759,43808
1760,23408
1761,45696
1762,45808
1763,46192
1764,30832
1765,84976
1766,22912
1767,13584
1768,34544
1769,43408
1770,26480
1771,49520
1772,41072
1773,43376
1774,30304
1775,15056
1776,23440
1777,13584
1778,32688
1779,47520
1780,94800
1781,48064
1782,43952
1783,46192
1784,24736
